"Title"	"Journal"	"Year"	"PMID"	"Abstract"
"48"	"[Role of excitatory amino acids in neuropathology]."	"Medicina"	1995	"8728878"	"Excitatory amino acids (EAA) became known as neurotransmitters of the central nervous system (CNS) in the last decade. The most studied EAA are glutamate and aspartate. Both are synthetized by the same mechanism as gamaaminobutyric acid. (Fig. 1). Glutamate is widely distributed in the CNS and the spinal cord, being the areas of higher concentration the cerebral cortex, the hypocampus and the cerebellum. There have been identified two type of receptors for glutamate: ionotropic and metabotropic. The former includes three different types: NMDA, AMPA and KA. NMDA receptor is coupled to a Na+ and Ca2+ channel being the second ion the most important one. This receptor has several sites of binding for various substances. Along with the site for N-methyl-D-aspartate, which binds glutamate and/or aspartate, there have been identified a site for the binding of glycine (which is different from the strychnine sensitive one), a site for poliamines such as spermine and spermidine, and a site for the binding of Zn2+ (Table 1). AMPA receptor is associated to a Ca(2+)-Na+ channel, being in this case the Na+ the most important ion. There are two metabotropic type receptors: L-AP4 and trans-ACPD. Both are coupled to a G protein and agonists exert their action increasing phospholipase C activity which in turn induces an increment of IP3 and diacyl-glicerol, and a consecutive releasing of Ca2+ from intracellular stores. EAA play a role in some physiological processes. One of them is long-term potentiation (LTP), an electrochemical phenomenon involved in memory consolidation. Antagonists of NMDA and AMPA receptor prevent the development of LTP, and conversely, the agonist of glycine site of NMDA receptor--D-cycloserine--facilitates memory consolidation. Since 1957, EAA are considered neurotoxic substances and there are many indirect evidences to support this statement. Pathogenesis of neuronal damage elicited by EAA involves the events shown in Fig. 3. Prevention of the cascade of events that provokes neurotoxicity may be achieved by NMDA antagonists, but once it has begun it may be only aborted subtracting the Ca2+ from the medium, using nifedipine or blocking AMPA receptor with an antagonist (CNQX). EAA have been shown to play a toxic role in neuronal damage induced by ischemia. Research using various experimental models demonstrated that NMDA receptor antagonists (i.e. MK 801) blocks postischemic damage. Interventions at various levels of the pathogenic cascade shown in Fig. 4 provoke the same results. There is enough evidence to suspect that NMDA and AMPA receptors are altered in epilepsy. NMDA antagonists (i.e. MK801 or AP5) prevent the development of epileptic seizures induced by kindling; CNQX, an AMPA antagonist, blocks the increase in electrical activity induced by K+ in slices of hypocampus; felbamate, an antiepileptic drug, blocks the glycine site (not strychnine sensitive) decreasing NMDA receptor activity. Several neurodegenerative disorders have been associated with exogenous administration or accidental intake of EAA. (i.e. neurolatirism, Guam disease). Similarities between these diseases and lateral aminotrophic sclerosis indicate that in the latter EAA may play a pathogenic role. Finally, the psychotomimetic effect of phencyclidine (an antagonist of NMDA receptor) suggests that in schizophrenia, together with dopaminergic neurotransmission impairment, some dysfunction of glutamate pathways may be present."
"49"	"Calcium channel blockade interacts with a neuroleptic to attenuate the conditioning of amphetamine's behavioral effects in the rat."	"Biological psychiatry"	1992	"1388060"	"Conditioned responses to drug-related cues appear to be related to the maintenance of stimulant addiction. These conditioned responses are not blocked by treatments that block the direct effects of stimulants and may contribute to the high rate of relapse of addicts. Rats administered (+)-amphetamine in a specific environment exhibit conditioned locomotion when subsequently placed in that environment without drugs. The neuroleptic haloperidol significantly attenuated amphetamine-induced locomotor activity but failed to reduce conditioned locomotion. Nimodipine, an L-type calcium channel antagonist, had no effect on amphetamine-induced unconditioned or conditioned locomotion. However, combined nimodipine and haloperidol treatment blocked the unconditioned and attenuated the conditioned locomotor response to amphetamine. Conjunctive therapy with nimodipine and haloperidol may provide an efficacious treatment for stimulant addiction. In addition, nimodipine may provide an important adjunctive therapy for schizophrenia, allowing the use of lower doses of neuroleptic to avoid extrapyramidal side effects."
"50"	"A clinical trial of nifedipine in schizophrenia and tardive dyskinesia."	"Pharmacology, biochemistry, and behavior"	1991	"1686106"	"Effects of the dihydropyridine calcium channel inhibitor nifedipine on chronic schizophrenia and tardive dyskinesia were studied in an 8-week double-blind crossover trial. Four of the ten patients had tardive dyskinesia, and three of these were not receiving neuroleptics. No effects on symptoms of chronic schizophrenia were found using Psychiatric Symptom Assessment Scale ratings. In the four patients with tardive dyskinesia, an average improvement in total Abnormal Involuntary Movement Scale scores of 57% was observed. These data suggest that dihydropyridine calcium channel inhibitors may be effective in the treatment of tardive dyskinesia in schizophrenic patients."
"51"	"Effects of nifedipine on psychosis and tardive dyskinesia in schizophrenic patients."	"Journal of clinical psychopharmacology"	1991	"1674950"	"In an open label study, two fixed doses of nifedipine (30 mg and 60 mg daily) were added to the usual antipsychotic drug treatments of 10 patients suffering from chronic schizophrenia. While no patient experienced significant improvements, statistically significant falls in Brief Psychiatric Rating Scales scores were observed. A significant reduction in Abnormal Involuntary Movement Scale scores was observed in those patients with tardive dyskinesia. After the addition of nifedipine, four of the 10 patients showed large increases in plasma neuroleptic activity (radioreceptor assay) that decreased to baseline levels within two weeks. The possibility that this represents competitive inhibition and subsequent induction of the liver metabolism of the antipsychotic drugs is discussed. Adverse effects encountered are also discussed."
"52"	"Effects of adjunctive verapamil administration in chronic schizophrenic patients."	"Progress in neuro-psychopharmacology &amp; biological psychiatry"	1991	"1677775"	"1. The efficacy of adjunctive verapamil on psychopathological symptoms and tardive dyskinesia was investigated in 22 chronic schizophrenic patients, who had partially responded to neuroleptics. 2. After 28 days verapamil administration (240 mg/day) a significant improvement was found in anxiety-depression, and in some positive and negative symptoms. Three of the 22 patients showed clinically pronounced global improvement. 3. The treatment was ineffective in tardive dyskinesia."
"53"	"Nifedipine in the treatment of tardive dyskinesia."	"Journal of clinical psychopharmacology"	1990	"1981070"	"There have been several case reports of improvement in tardive dyskinesia (TD) after treatment with calcium-blocking agents. We have conducted prior single-blind (rater-blind) studies of verapamil and diltiazem and found a statistically significant improvement in TD with verapamil, and a small improvement that did not reach statistical improvement after diltiazem treatment. We now report a single-blind (rater-blind) study of a third calcium antagonist, nifedipine, in the treatment of TD. Nifedipine (30-60 mg/day) was administered to eight schizophrenic patients with TD. Mean AIMS scores on items 1-7 decreased from 12.9 +/- 2.0 (SD) at baseline to 10.8 +/- 2.7 after treatment (t = 3.66, p = 0.01). All subjects were able to tolerate the maximal dose of nifedipine without significant side effects. TD is known to be affected by drugs that affect dopamine neurotransmission. Several lines of pre-clinical and clinical evidence suggest interactions between the calcium antagonists and the CNS dopamine system and provide a possible explanation for the effects on TD seen with calcium antagonists."
"54"	"Verapamil in the treatment of schizophrenia."	"DICP : the annals of pharmacotherapy"	1990	"2260342"	""
"55"	"Effects of verapamil on tardive dyskinesia and psychosis in schizophrenic patients."	"The Journal of clinical psychiatry"	1989	"2562952"	"Nine hospitalized schizophrenic patients with tardive dyskinesia were treated with the calcium-channel antagonist verapamil under single-blind conditions. The tardive dyskinesia and activation scores decreased, and the anxiety/depression scores increased. The changes were small but statistically significant."
"56"	"Steady-state cerebrospinal fluid transfer of verapamil and metabolites in patients with schizophrenia."	"Clinical pharmacology and therapeutics"	1988	"3180637"	"Cerebrospinal fluid (CSF) and plasma levels of verapamil and its two metabolites, norverapamil and D-620, were measured in seven patients with schizophrenia under steady-state conditions. Simultaneous sampling of CSF and plasma just before the dose during week 4 of the trial showed that verapamil, norverapamil, and D-620 partition in the CSF and reflect 7%, 5%, and 12% of the corresponding levels in plasma, respectively. There was a significant decrease in the mean unbound fraction of verapamil in schizophrenic patients as compared with normal subjects (0.058 vs. 0.11; p less than 0.001). Estimates of the mean unbound fraction obtained from CSF/plasma verapamil concentrations and the pH partition hypothesis showed excellent agreement with that measured by equilibrium dialysis (0.055 vs. 0.058) in these patients. Although systemic pool protein concentrations in schizophrenic patients were within normal range, an excellent positive correlation was observed between the ratio of the bound/free verapamil concentration and alpha 1-acid glycoprotein levels (r = 0.86; p less than 0.05). Determination and development of correlations between plasma and CSF may enhance our understanding of the central nervous system effects of verapamil."
"57"	"Effects of verapamil administration on negative symptoms of chronic schizophrenia."	"Psychiatry research"	1988	"3387506"	""
"58"	"Use of verapamil to treat negative symptoms in schizophrenia."	"Journal of clinical psychopharmacology"	1987	"3680609"	""
"59"	"Nifedipine in neuroleptic-refractory schizophrenia."	"Journal of clinical psychopharmacology"	1987	"2885346"	""
"60"	"Verapamil in treatment of severe schizophrenia."	"Acta psychiatrica Scandinavica"	1987	"2886012"	""
"61"	"Clinical and biochemical effects of verapamil administration to schizophrenic patients."	"Archives of general psychiatry"	1987	"3545130"	"We administered verapamil hydrochloride, a calcium channel antagonist, to seven chronically ill schizophrenic patients for five weeks under double-blind, placebo-controlled conditions. No therapeutic effect was noted. Worsening in hostile and uncooperative behaviors and a syndrome of heightened emotional tone was observed during verapamil treatment and during the postverapamil placebo period. Verapamil produced significant increases in cerebrospinal fluid (CSF) and plasma levels of homovanillic acid and in plasma levels of prolactin, as well as significant decreases in plasma levels of 3-methoxy-4-hydroxyphenethyleneglycol. Verapamil and its active metabolite, norverapamil, were partitioned into CSF with CSF/plasma ratios of 0.06 and 0.04, respectively. The lack of therapeutic effects of verapamil in schizophrenic patients differs from earlier reports of its usefulness in treating manic patients. The biochemical and clinical data from our study suggest the possibility that verapamil exerts behaviorally relevant central nervous system activity in schizophrenic patients."
"62"	"Verapamil in refractory schizophrenia: a case report."	"Progress in neuro-psychopharmacology &amp; biological psychiatry"	1987	"3628827"	"Verapamil, a papaverine calcium channel blocker, has been used effectively and safely in the treatment of angina pectoris and auricular arrhythmias, and more recently in the treatment of mania. Many antipsychotic drugs show calcium channel blocking effects similar to verapamil's. A 41 year old male schizophrenic, only partially responsive to haloperidol decanoate and oral haloperidol, was given increasing doses of verapamil concomitantly, and monitored clinically and by the BPRS, electrocardiogramme, and other laboratory measures. The patient's total BPRS score dropped from 79 to 41 and remained stable, after initial worsening at lower doses, at verapamil 80 mg po qid. Mild fatigue was the only side effect. Further investigation of verapamil in the treatment of schizophrenia is warranted."
"63"	"Verapamil in the treatment of chronic schizophrenia."	"Psychopharmacology bulletin"	1987	"3602324"	""
"64"	"Antipsychotic effects of verapamil in schizophrenia."	"The Hillside journal of clinical psychiatry"	1987	"3323023"	"The antipsychotic effects of verapamil were tested in a double-blind, placebo-controlled, randomized study in 18 patients who met Research Diagnostic Criteria for acute schizophrenia. The antipsychotic effect of verapamil as measured by the Bunney-Hamburg Global Rating Scale were equal to those of haloperidol. Both verapamil and haloperidol were superior to placebo in decreasing psychotic symptoms. The results indicate that verapamil may have clinical utility in the treatment of schizophrenia."
"65"	"Verapamil in acute psychosis."	"Psychosomatics"	1986	"3797612"	""
"66"	"Effect of verapamil on platelet serotonin concentration in normal and schizophrenic subjects."	"Psychiatry research"	1986	"3797552"	""
"67"	"Treatment of schizophrenia with verapamil."	"Journal of clinical psychopharmacology"	1986	"3734147"	""
"68"	"A negative, double-blind, placebo-controlled, clinical trial of verapamil in chronic schizophrenia."	"Biological psychiatry"	1986	"3518822"	""
"69"	"Verapamil concentrations in cerebrospinal fluid after oral administration."	"The New England journal of medicine"	1985	"3990723"	""
"70"	"Antischizophrenic drugs of the diphenylbutylpiperidine type act as calcium channel antagonists."	"Proceedings of the National Academy of Sciences of the United States of America"	1983	"6136040"	"Antischizophrenic neuroleptic drugs of the diphenylbutylpiperidine class, which includes pimozide, fluspirilene, penfluridol, and clopimozide, inhibit [3H]nitrendipine binding with IC50 values of 13-30 nM. This inhibition involves receptors for the verapamil/prenylamine class of calcium channel antagonists. These diphenylbutylpiperidines also inhibit potassium-induced calcium-dependent contractions of rat vas deferens at concentrations of 40-350 nM. Other phenothiazine and butyrophenone neuroleptics lack such potent calcium-antagonist actions. Diphenylbutylpiperidines also differ from other neuroleptics in their ability to relieve negative symptoms of schizophrenia, such as emotional withdrawal, as well as the positive symptoms which respond to all neuroleptics. We suggest that these unique antischizophrenic actions are related to a blockade by diphenylbutylpiperidines of voltage-operated calcium channels."
"71"	"[Hyperthermia with acute rhabdomyolysis in a psychotic treated with neuroleptics]."	"Revue neurologique"	1983	"6139869"	"A 36 year old psychotic man receiving treatment with slow-release pipotiazine and trihexyphenidyl developed nine days after addition of droperidol signs suggestive of a malignant neuroleptic syndrome: altered general condition, diffuse hypertonia, akinesia, fever and vomiting. Results of biologic tests and a muscle biopsy were suggestive of a severe rhabdomyolysis. Cessation of neuroleptic therapy and the administrative of nifedipine brought a gradual return return to normal conditions, and progressively increasing doses of neuroleptic could be given without complications 12 days later. Onset of hyperthermia during neuroleptic treatment raises two questions: 1) is the etiology related to a malignant neuroleptic syndrome or acute catatonia, or a heat stroke? 2) to what extent are neuroleptics responsible for these disorders?"
"72"	"Clinical evaluation of cinnarizine in patients with cerebral circulatory deficiency."	"Arzneimittel-Forschung"	1972	"4554633"	""
